ros_time_sec,run_id,random_seed,rx_index,target_id,nav_state,stage,tof_range,map_distance_before,range_residual,yaw_error_deg,prior_x,prior_y,measurement_x,measurement_y,post_x,post_y,kalman_gain_x,kalman_gain_y,innovation_xy,accepted,reason
1784368141.467372,direct1m_01,101,1716,1,APPROACH,TO_1M,7.249778,7.408797,0.020982,-0.065244,12.248502,-4.879839,12.270855,-4.883297,12.250231,-4.880107,0.077350,0.077350,0.022619,1,accepted
1784368141.520277,direct1m_01,101,1717,1,APPROACH,TO_1M,7.212900,7.398752,0.005852,-0.065073,12.250231,-4.880107,12.249494,-4.869896,12.250176,-4.879336,0.075503,0.075503,0.010237,1,accepted
1784368141.593079,direct1m_01,101,1718,1,APPROACH,TO_1M,7.178366,7.387849,0.029483,-0.063884,12.250176,-4.879336,12.229039,-4.857198,12.248584,-4.877668,0.075313,0.075313,0.030608,1,accepted
1784368141.658421,direct1m_01,101,1719,1,APPROACH,TO_1M,7.152842,7.370542,0.037700,-0.065155,12.248584,-4.877668,12.220463,-4.851203,12.246485,-4.875693,0.074629,0.074629,0.038616,1,accepted
1784368141.735974,direct1m_01,101,1720,1,APPROACH,TO_1M,7.155379,7.355722,0.020343,-0.066613,12.246485,-4.875693,12.233376,-4.857948,12.245503,-4.874364,0.074896,0.074896,0.022063,1,accepted
1784368141.810761,direct1m_01,101,1721,1,APPROACH,TO_1M,7.150129,7.342486,0.012357,-0.070443,12.245503,-4.874364,12.239504,-4.860291,12.245054,-4.873310,0.074931,0.074931,0.015299,1,accepted
1784368141.872757,direct1m_01,101,1722,1,APPROACH,TO_1M,7.167621,7.331560,0.016061,-0.072973,12.245054,-4.873310,12.263636,-4.873503,12.246430,-4.873324,0.074067,0.074067,0.018583,1,accepted
1784368141.945460,direct1m_01,101,1723,1,APPROACH,TO_1M,7.155589,7.319219,0.016370,-0.079692,12.246430,-4.873324,12.265710,-4.872957,12.247858,-4.873297,0.074077,0.074077,0.019283,1,accepted
1784368142.028317,direct1m_01,101,1724,1,APPROACH,TO_1M,7.103142,7.311428,0.028286,-0.079743,12.247858,-4.873297,12.228772,-4.850081,12.246431,-4.871560,0.074793,0.074793,0.030054,1,accepted
1784368142.095340,direct1m_01,101,1725,1,APPROACH,TO_1M,7.093988,7.299246,0.025258,-0.081259,12.246431,-4.871560,12.230040,-4.849741,12.245213,-4.869939,0.074302,0.074302,0.027290,1,accepted
1784368142.160063,direct1m_01,101,1726,1,APPROACH,TO_1M,7.105812,7.284889,0.000923,-0.084490,12.245213,-4.869939,12.251513,-4.861189,12.245677,-4.869294,0.073718,0.073718,0.010783,1,accepted
1784368142.240584,direct1m_01,101,1727,1,APPROACH,TO_1M,7.102601,7.276265,0.006336,-0.084927,12.245677,-4.869294,12.256650,-4.863280,12.246493,-4.868847,0.074322,0.074322,0.012513,1,accepted
1784368142.310132,direct1m_01,101,1728,1,APPROACH,TO_1M,7.090857,7.266919,0.003938,-0.087143,12.246493,-4.868847,12.255544,-4.861377,12.247163,-4.868294,0.074073,0.074073,0.011736,1,accepted
1784368142.378067,direct1m_01,101,1729,1,APPROACH,TO_1M,7.073948,7.254980,0.001032,-0.092740,12.247163,-4.868294,12.252303,-4.857686,12.247542,-4.867512,0.073749,0.073749,0.011788,1,accepted
1784368142.458984,direct1m_01,101,1730,1,APPROACH,TO_1M,7.053204,7.246341,0.013137,-0.094059,12.247542,-4.867512,12.242370,-4.850568,12.247158,-4.866251,0.074378,0.074378,0.017715,1,accepted
1784368142.526755,direct1m_01,101,1731,1,APPROACH,TO_1M,7.027700,7.235608,0.027908,-0.093642,12.247158,-4.866251,12.229273,-4.841791,12.245834,-4.864441,0.073998,0.073998,0.030301,1,accepted
1784368142.595554,direct1m_01,101,1732,1,APPROACH,TO_1M,7.002517,7.224911,0.042394,-0.090090,12.245834,-4.864441,12.215282,-4.832944,12.243581,-4.862119,0.073743,0.073743,0.043881,1,accepted
1784368142.689041,direct1m_01,101,1733,1,APPROACH,TO_1M,7.014775,7.209231,0.014456,-0.085665,12.243581,-4.862119,12.236715,-4.845452,12.243064,-4.860864,0.075251,0.075251,0.018026,1,accepted
1784368142.755304,direct1m_01,101,1734,1,APPROACH,TO_1M,6.977504,7.197886,0.040381,-0.078218,12.243064,-4.860864,12.213468,-4.831697,12.240855,-4.858687,0.074639,0.074639,0.041553,1,accepted
1784368142.821558,direct1m_01,101,1735,1,APPROACH,TO_1M,6.956351,7.185582,0.049231,-0.068398,12.240855,-4.858687,12.203032,-4.826035,12.238052,-4.856267,0.074113,0.074113,0.049968,1,accepted
1784368142.904842,direct1m_01,101,1736,1,APPROACH,TO_1M,6.948911,7.168464,0.039554,-0.059548,12.238052,-4.856267,12.207959,-4.829545,12.235800,-4.854267,0.074856,0.074856,0.040245,1,accepted
1784368142.971281,direct1m_01,101,1737,1,APPROACH,TO_1M,6.925542,7.154838,0.049296,-0.052971,12.235800,-4.854267,12.196927,-4.823243,12.232911,-4.851962,0.074315,0.074315,0.049735,1,accepted
1784368143.038949,direct1m_01,101,1738,1,APPROACH,TO_1M,6.962945,7.141843,0.001103,-0.046674,12.232911,-4.851962,12.236851,-4.847541,12.233202,-4.851635,0.073936,0.073936,0.005922,1,accepted
1784368143.126066,direct1m_01,101,1739,1,APPROACH,TO_1M,6.941182,7.128351,0.007169,-0.039853,12.233202,-4.851635,12.229608,-4.843695,12.232933,-4.851039,0.074972,0.074972,0.008715,1,accepted
1784368143.189856,direct1m_01,101,1740,1,APPROACH,TO_1M,6.941426,7.116699,0.004727,-0.031518,12.232933,-4.851039,12.239001,-4.850117,12.233383,-4.850971,0.074226,0.074226,0.006138,1,accepted
1784368143.257871,direct1m_01,101,1741,1,APPROACH,TO_1M,6.931892,7.106941,0.004951,-0.024153,12.233383,-4.850971,12.239171,-4.850952,12.233811,-4.850970,0.073884,0.073884,0.005788,1,accepted
1784368143.345803,direct1m_01,101,1742,1,APPROACH,TO_1M,6.914732,7.091930,0.002802,-0.013583,12.233811,-4.850970,12.237078,-4.850971,12.234056,-4.850970,0.074981,0.074981,0.003267,1,accepted
1784368143.396655,direct1m_01,101,1743,1,APPROACH,TO_1M,6.894210,7.079178,0.004968,-0.002253,12.234056,-4.850970,12.229941,-4.848172,12.233754,-4.850765,0.073333,0.073333,0.004975,1,accepted
1784368143.459774,direct1m_01,101,1744,1,APPROACH,TO_1M,6.878112,7.067227,0.009115,0.006457,12.233754,-4.850765,12.225532,-4.846751,12.233156,-4.850472,0.072774,0.072774,0.009149,1,accepted
1784368143.527888,direct1m_01,101,1745,1,APPROACH,TO_1M,6.876791,7.053146,0.003645,0.014679,12.233156,-4.850472,12.235348,-4.853899,12.233315,-4.850721,0.072643,0.072643,0.004068,1,accepted
1784368143.611074,direct1m_01,101,1746,1,APPROACH,TO_1M,6.851108,7.036852,0.005745,0.022779,12.233315,-4.850721,12.226950,-4.850158,12.232847,-4.850680,0.073590,0.073590,0.006389,1,accepted
1784368143.679625,direct1m_01,101,1747,1,APPROACH,TO_1M,6.794988,7.025172,0.050184,0.025826,12.232847,-4.850680,12.188213,-4.827523,12.229572,-4.848981,0.073375,0.073375,0.050283,1,accepted
1784368143.747165,direct1m_01,101,1748,1,APPROACH,TO_1M,6.790283,7.008912,0.038629,0.025724,12.229572,-4.848981,12.194851,-4.831762,12.227033,-4.847722,0.073117,0.073117,0.038756,1,accepted
1784368143.840274,direct1m_01,101,1749,1,APPROACH,TO_1M,6.821888,6.990900,0.010988,0.023500,12.227033,-4.847722,12.234970,-4.855844,12.227626,-4.848328,0.074692,0.074692,0.011356,1,accepted
1784368143.900426,direct1m_01,101,1750,1,APPROACH,TO_1M,6.757603,6.981580,0.043978,0.018068,12.227626,-4.848328,12.188809,-4.827540,12.224764,-4.846796,0.073733,0.073733,0.044032,1,accepted
1784368143.968810,direct1m_01,101,1751,1,APPROACH,TO_1M,6.801713,6.967136,0.014577,0.007439,12.224764,-4.846796,12.236788,-4.855086,12.225647,-4.847405,0.073486,0.073486,0.014605,1,accepted
1784368144.043580,direct1m_01,101,1752,1,APPROACH,TO_1M,6.775163,6.958652,0.003489,-0.004126,12.225647,-4.847405,12.222915,-4.845177,12.225446,-4.847241,0.073723,0.073723,0.003525,1,accepted
1784368144.115096,direct1m_01,101,1753,1,APPROACH,TO_1M,6.770119,6.944807,0.005312,-0.023121,12.225446,-4.847241,12.231443,-4.847576,12.225888,-4.847265,0.073696,0.073696,0.006006,1,accepted
1784368144.180787,direct1m_01,101,1754,1,APPROACH,TO_1M,6.758142,6.934326,0.003816,-0.039677,12.225888,-4.847265,12.231634,-4.845117,12.226309,-4.847108,0.073268,0.073268,0.006134,1,accepted
1784368144.253468,direct1m_01,101,1755,1,APPROACH,TO_1M,6.742091,6.924948,0.002857,-0.052010,12.226309,-4.847108,12.227101,-4.840250,12.226367,-4.846605,0.073388,0.073388,0.006904,1,accepted
1784368144.322210,direct1m_01,101,1756,1,APPROACH,TO_1M,6.722446,6.910320,0.007874,-0.066473,12.226367,-4.846605,12.223752,-4.835679,12.226175,-4.845805,0.073215,0.073215,0.011234,1,accepted
1784368144.390617,direct1m_01,101,1757,1,APPROACH,TO_1M,6.731744,6.897808,0.013936,-0.070799,12.226175,-4.845805,12.242515,-4.845681,12.227369,-4.845796,0.073043,0.073043,0.016341,1,accepted
1784368144.468690,direct1m_01,101,1758,1,APPROACH,TO_1M,6.710355,6.888153,0.002202,-0.073279,12.227369,-4.845796,12.233800,-4.839383,12.227842,-4.845324,0.073575,0.073575,0.009082,1,accepted
1784368144.537589,direct1m_01,101,1759,1,APPROACH,TO_1M,6.663368,6.876008,0.032639,-0.075518,12.227842,-4.845324,12.204546,-4.820740,12.226132,-4.843520,0.073387,0.073387,0.033868,1,accepted
1784368144.604017,direct1m_01,101,1760,1,APPROACH,TO_1M,6.635776,6.858536,0.042760,-0.079780,12.226132,-4.843520,12.194420,-4.813297,12.223816,-4.841312,0.073053,0.073053,0.043807,1,accepted
1784368144.672036,direct1m_01,101,1761,1,APPROACH,TO_1M,6.635721,6.845277,0.029556,-0.080845,12.223816,-4.841312,12.203478,-4.817800,12.222334,-4.839598,0.072876,0.072876,0.031088,1,accepted
1784368144.748290,direct1m_01,101,1762,1,APPROACH,TO_1M,6.625057,6.832256,0.027198,-0.082036,12.222334,-4.839598,12.204084,-4.817193,12.220996,-4.837956,0.073303,0.073303,0.028898,1,accepted
1784368144.818920,direct1m_01,101,1763,1,APPROACH,TO_1M,6.642026,6.817506,0.004521,-0.088137,12.220996,-4.837956,12.230286,-4.831309,12.221677,-4.837469,0.073275,0.073275,0.011423,1,accepted
1784368144.889289,direct1m_01,101,1764,1,APPROACH,TO_1M,6.619916,6.809308,0.009392,-0.090057,12.221677,-4.837469,12.219162,-4.823459,12.221492,-4.836443,0.073232,0.073232,0.014234,1,accepted
1784368144.955810,direct1m_01,101,1765,1,APPROACH,TO_1M,6.622964,6.799007,0.003957,-0.092151,12.221492,-4.836443,12.230534,-4.829124,12.222152,-4.835909,0.072927,0.072927,0.011632,1,accepted
1784368145.022185,direct1m_01,101,1766,1,APPROACH,TO_1M,6.618609,6.787053,0.011556,-0.096082,12.222152,-4.835909,12.237933,-4.832134,12.223298,-4.835635,0.072653,0.072653,0.016227,1,accepted
1784368145.095417,direct1m_01,101,1767,1,APPROACH,TO_1M,6.607076,6.779109,0.007967,-0.097273,12.223298,-4.835635,12.236073,-4.829899,12.224230,-4.835217,0.072899,0.072899,0.014003,1,accepted
1784368145.170114,direct1m_01,101,1768,1,APPROACH,TO_1M,6.589988,6.769461,0.000527,-0.098328,12.224230,-4.835217,12.230690,-4.825547,12.224703,-4.834509,0.073213,0.073213,0.011630,1,accepted
1784368145.242137,direct1m_01,101,1769,1,APPROACH,TO_1M,6.570293,6.756504,0.006211,-0.097967,12.224703,-4.834509,12.225365,-4.821414,12.224751,-4.833549,0.073295,0.073295,0.013111,1,accepted
1784368145.304309,direct1m_01,101,1770,1,APPROACH,TO_1M,6.550542,6.746967,0.016425,-0.094544,12.224751,-4.833549,12.216455,-4.815532,12.224148,-4.832240,0.072675,0.072675,0.019835,1,accepted
1784368145.377687,direct1m_01,101,1771,1,APPROACH,TO_1M,6.560095,6.735307,0.004788,-0.090086,12.224148,-4.832240,12.233731,-4.825658,12.224847,-4.831760,0.072928,0.072928,0.011625,1,accepted
1784368145.443652,direct1m_01,101,1772,1,APPROACH,TO_1M,6.539731,6.726229,0.006498,-0.086312,12.224847,-4.831760,12.224537,-4.819730,12.224825,-4.830886,0.072625,0.072625,0.012033,1,accepted
1784368145.510501,direct1m_01,101,1773,1,APPROACH,TO_1M,6.519402,6.712080,0.012678,-0.083743,12.224825,-4.830886,12.219066,-4.815932,12.224407,-4.829803,0.072427,0.072427,0.016024,1,accepted
1784368145.584224,direct1m_01,101,1774,1,APPROACH,TO_1M,6.471645,6.700164,0.048519,-0.085377,12.224407,-4.829803,12.188088,-4.796129,12.221766,-4.827354,0.072738,0.072738,0.049528,1,accepted
1784368145.654406,direct1m_01,101,1775,1,APPROACH,TO_1M,6.446125,6.686945,0.060820,-0.089089,12.221766,-4.827354,12.175149,-4.786942,12.218374,-4.824413,0.072760,0.072760,0.061694,1,accepted
1784368145.720103,direct1m_01,101,1776,1,APPROACH,TO_1M,6.430794,6.668601,0.057807,-0.096057,12.218374,-4.824413,12.174754,-4.784880,12.215213,-4.821549,0.072462,0.072462,0.058869,1,accepted
1784368145.798553,direct1m_01,101,1777,1,APPROACH,TO_1M,6.467752,6.653148,0.005397,-0.103498,12.215213,-4.821549,12.216844,-4.808480,12.215332,-4.820593,0.073100,0.073100,0.013170,1,accepted
1784368145.869312,direct1m_01,101,1778,1,APPROACH,TO_1M,6.477557,6.642756,0.014801,-0.112235,12.215332,-4.820593,12.234748,-4.817157,12.216752,-4.820342,0.073110,0.073110,0.019717,1,accepted
1784368145.933159,direct1m_01,101,1779,1,APPROACH,TO_1M,6.450333,6.632232,0.001899,-0.120186,12.216752,-4.820342,12.222363,-4.807473,12.217159,-4.819407,0.072633,0.072633,0.014039,1,accepted
1784368146.012026,direct1m_01,101,1780,1,APPROACH,TO_1M,6.443557,6.617540,0.006017,-0.134425,12.217159,-4.819407,12.230380,-4.809274,12.218128,-4.818665,0.073276,0.073276,0.016658,1,accepted
1784368146.082812,direct1m_01,101,1781,1,APPROACH,TO_1M,6.431004,6.607767,0.003236,-0.141017,12.218128,-4.818665,12.229359,-4.806460,12.218951,-4.817771,0.073265,0.073265,0.016586,1,accepted
1784368146.149049,direct1m_01,101,1782,1,APPROACH,TO_1M,6.415035,6.596158,0.001123,-0.147584,12.218951,-4.817771,12.226841,-4.802683,12.219526,-4.816670,0.072934,0.072934,0.017026,1,accepted
1784368146.237178,direct1m_01,101,1783,1,APPROACH,TO_1M,6.396626,6.581168,0.004542,-0.151469,12.219526,-4.816670,12.224714,-4.799460,12.219911,-4.815393,0.074183,0.074183,0.017976,1,accepted
1784368146.296248,direct1m_01,101,1784,1,APPROACH,TO_1M,6.402929,6.570379,0.012550,-0.145823,12.219911,-4.815393,12.239348,-4.807655,12.221334,-4.814827,0.073221,0.073221,0.020921,1,accepted
